2024 RANK,2023 RANK,Institution Name - WRONG,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
1201-1400,1201-1400,Izmir Institute of Technology (IZTECH),İzmir Institute of Technology,TR,Turkey,M,CO,HI,3.0,A,2023-06-06 00:00:00,601+,2023-05-03 00:00:00,601+,2023-09-05 00:00:00,701+,2023-05-07 00:00:00,701+,2023-04-03 00:00:00,701+,2023-03-02 00:00:00,701+,1,701+,2023-09-06 00:00:00,701+,2023-05-03 00:00:00,701+,-
1201-1400,1001-1200,Kharkiv National University of Radio Electronics,Kharkiv National University of Radioelectronics,UA,Ukraine,M,FO,VH,4.0,A,2023-07-03 00:00:00,601+,2023-01-13 00:00:00,601+,26,569,2023-05-01 00:00:00,701+,2023-04-01 00:00:00,701+,2023-09-10 00:00:00,696,1,701+,2023-05-10 00:00:00,701+,2023-01-02 00:00:00,701+,-
1201-1400,1201-1400,Marmara University,Marmara University,TR,Turkey,XL,FO,VH,5.0,A,2023-08-06 00:00:00,601+,2023-03-08 00:00:00,601+,5,701+,2023-03-02 00:00:00,701+,3,701+,2023-06-03 00:00:00,701+,2023-01-02 00:00:00,701+,2023-04-15 00:00:00,548,2023-01-06 00:00:00,701+,-
1201-1400,1001-1200,Mendeleev University of Chemical Technology,D. Mendeleev University of Chemical Technology of Russia,RU,Russia,M,FO,VH,5.0,A,2023-09-04 00:00:00,601+,2023-09-03 00:00:00,601+,2023-05-30 00:00:00,515,2023-07-02 00:00:00,701+,2023-01-01 00:00:00,701+,2023-07-05 00:00:00,701+,1,701+,2023-02-07 00:00:00,701+,1,701+,-
1201-1400,1201-1400,Moscow Pedagogical State University,Moscow State Pedagogical University,RU,Russia,L,FO,HI,5.0,A,2023-03-08 00:00:00,601+,2023-07-02 00:00:00,601+,2023-06-07 00:00:00,701+,2023-04-01 00:00:00,701+,2023-02-01 00:00:00,701+,2023-09-25 00:00:00,464,1,701+,2023-01-07 00:00:00,701+,1,701+,-
1201-1400,1201-1400,National Research University Moscow Power Engineering Institute (MPEI),Moscow Power Engineering Institute,RU,Russia,M,FO,VH,5.0,A,2023-08-05 00:00:00,601+,2023-05-03 00:00:00,601+,2023-07-11 00:00:00,701+,2,701+,2023-09-07 00:00:00,701+,45,323,2023-01-01 00:00:00,701+,2023-08-07 00:00:00,701+,2023-04-01 00:00:00,701+,-
1201-1400,1201-1400,National University of Life and Environmental Sciences of Ukraine,National University of Life and Environmental Sciences of Ukraine,UA,Ukraine,L,FO,HI,5.0,A,2023-07-05 00:00:00,601+,2023-04-04 00:00:00,601+,2023-02-17 00:00:00,701+,2023-04-01 00:00:00,701+,2023-02-01 00:00:00,701+,2023-02-01 00:00:00,701+,2023-01-01 00:00:00,701+,2023-08-09 00:00:00,701+,2023-01-01 00:00:00,701+,-
1201-1400,,Norwegian University of Life Sciences (UMB),Norwegian University of Life Sciences,NO,Norway,,SP,,,,2023-09-05 00:00:00,601+,2023-07-03 00:00:00,601+,,,,,,,,,41.5,366,,,,,-
1201-1400,1201-1400,Óbuda University,Óbuda University,HU,Hungary,M,FO,VH,2.0,A,2023-05-04 00:00:00,601+,2023-09-03 00:00:00,601+,2023-01-02 00:00:00,701+,2023-06-06 00:00:00,701+,2023-06-13 00:00:00,693,2023-06-07 00:00:00,701+,2023-03-01 00:00:00,701+,2023-06-05 00:00:00,701+,1,701+,-
1201-1400,801-1000,Perm State National Research University,Perm State University,RU,Russia,M,FO,VH,5.0,A,5,601+,2023-07-01 00:00:00,601+,41.1,383,2023-05-01 00:00:00,701+,2023-04-01 00:00:00,701+,2023-08-05 00:00:00,701+,1,701+,2023-07-07 00:00:00,701+,2023-05-02 00:00:00,701+,-
1201-1400,1201-1400,Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,Russian State Agrarian University – Moscow Timiryazev Agricultural Academy,RU,Russia,L,FO,HI,5.0,A,2023-01-07 00:00:00,601+,2023-05-03 00:00:00,601+,2023-07-07 00:00:00,701+,2023-03-01 00:00:00,701+,2,701+,2023-08-04 00:00:00,701+,1,701+,2023-09-09 00:00:00,701+,2023-03-05 00:00:00,701+,-
1201-1400,1201-1400,Russian State University for the Humanities,Russian State University for the Humanities,RU,Russia,M,FO,VH,3.0,A,2023-04-05 00:00:00,601+,2023-06-02 00:00:00,601+,2023-05-17 00:00:00,701+,2023-03-01 00:00:00,701+,2023-07-01 00:00:00,701+,2023-01-04 00:00:00,701+,1,701+,2023-06-08 00:00:00,701+,1,701+,-
