2024 RANK,2023 RANK,Institution Name - WRONG,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
2,2,University of Cambridge,University of Cambridge,UK,United Kingdom,L,FC,VH,5.0,A,100,3,100,4,100,14,92.3,68,100,64,95.8,85,99.9,7,100,6,97.3,33=,99.2
3,4,University of Oxford,University of Oxford,UK,United Kingdom,L,FC,VH,5.0,A,100,2,100,5,100,8,90.6,73,98.2,110,98.2,60,100,1,100,3,97.8,26=,98.9
6,6=,Imperial College London,Imperial College London,UK,United Kingdom,L,FC,VH,5.0,A,98.3,23,99.4,12,98.5,42,94,58,100,61,100,14,96.7,35,83,45,94.4,61=,97.8
7,9,ETH Zurich - Swiss Federal Institute of Technology,ETH Zurich,CH,Switzerland,L,FO,VH,5.0,A,98.8,19,83.6,62,72.1,177,98.9,21,100,22,98.5,56,96,42,79.1,52,88.4,103=,93.3
9,8,UCL,UCL,UK,United Kingdom,XL,FC,VH,5.0,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100,15,100,2,51.6,126,92.5,74,92.4
22,15,The University of Edinburgh,University of Edinburgh,UK,United Kingdom,XL,FC,VH,5.0,A,98.1,25,96.9,26,72.4,176,58.7,216,98.8,100,99.9,33,99.6,12,48.1,141,99.7,6,86.1
24,26,Université PSL,Paris Sciences et Lettres University,FR,France,L,CO,VH,1.0,A,73.7,82,97,25,99.3,33,95.7,49,69.2,280,72.7,196,100,3,60.8,97,80.4,146=,85.8
32,28,The University of Manchester,University of Manchester,UK,United Kingdom,XL,FC,VH,5.0,A,95.4,33,98,21,53.8,288,49.1,274,93.5,160,99.4,44,99.7,10,71.9,66,92.3,75=,82.2
36,16=,EPFL,École Polytechnique Fédérale de Lausanne,CH,Switzerland,M,FO,VH,5.0,A,84.6,57,59.9,133,92.4,73,98,34,100,25,100,12,65.6,213,2023-04-19 00:00:00,431,42.3,351=,80.4
37,49,Technical University of Munich,Technical University of Munich,DE,Germany,XL,FO,VH,5.0,A,83.9,59,98.2,19,88.8,89,59.6,210,76.5,243,97.3,71,86.7,103,25,330,84.8,120=,80
38,48,Institut Polytechnique de Paris,Polytechnic Institute of Paris,FR,France,M,CO,VH,1.0,A,44.8,185,99.6,10,97.3,51,93.8,59,98.5,106,98.3,58,76.9,163,90.3,35,72.5,189=,79.5
40,37,King's College London,King's College London,UK,United Kingdom,XL,FC,VH,5.0,A,89.5,46,82.3,68,64.6,215,61.1,201,98.8,99,100,23,99.2,14,34.4,223,81.1,142=,79.3
45,56,The London School of Economics and Political Science (LSE),London School of Economics,UK,United Kingdom,M,SP,VH,5.0,A,67.7,98,96.1,32,39.6,401,80.2,110,100,35,100,10,32.4,440,98.6,16,97.8,28,76.9
47,61=,Delft University of Technology,Delft University of Technology,NL,Netherlands,L,CO,VH,5.0,A,73,84,79,73,36.9,428,84.9,95,100,66,89.3,121,91.4,72,42.1,170,98.4,18=,76.2
53,58,University of Amsterdam,University of Amsterdam,NL,Netherlands,XL,FC,VH,5.0,A,83.6,62,44.2,203,2023-02-21 00:00:00,641,98.1,33,92.4,168,79.9,163,97.4,28,49.9,133,64.8,226=,73.4
54,59,Ludwig-Maximilians-Universität München,Ludwig Maximilian University of Munich,DE,Germany,XL,FC,VH,5.0,A,92.7,40,83.5,63,46.7,335,51.4,254,73.3,260,37.7,362,94.4,57,48.5,140,77.3,167=,72.5
55,61=,University of Bristol,University of Bristol,UK,United Kingdom,L,FC,VH,5.0,A,74.9,78,84.7,60,47.3,331,64.7,179,85.5,205,86.8,136,84.4,122,39.6,181,81.3,141,72.4
59,60,Sorbonne University,Sorbonne University,FR,France,XL,FC,VH,1.0,A,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100,4,39.5,182,75.8,171=,71.7
61,76,KU Leuven,KU Leuven,BE,Belgium,XL,FC,VH,5.0,A,84.6,56,42.4,220,7,701+,92.7,66,93.1,163,45.7,318,99.9,6,56.1,111,75.6,173=,70.1
67,64,The University of Warwick,University of Warwick,UK,United Kingdom,L,FC,VH,4.0,A,71.3,86,88,56,37.3,420,49,275,98.2,109,99.3,47,89.7,87,47.2,148,62.5,239=,68.6
71,69,Université Paris-Saclay,Paris-Saclay University,FR,France,XL,CO,VH,1.0,A,58.9,128,99.1,13,99.8,25,45.8,294,39.1,416,60.8,244,98.7,17,34.3,224,73.6,182=,67.6
73,89,KTH Royal Institute of Technology,KTH Royal Institute of Technology,SE,Sweden,L,CO,VH,5.0,A,45.7,181,51.1,162,66.2,201,90.2,74,93.2,162,68.1,217,80.7,142,56.9,108,96.1,44=,66.4
75,86,University of Leeds,University of Leeds,UK,United Kingdom,XL,FC,VH,5.0,A,70.3,89,76.7,77,37.3,421,42.3,320,85.2,208,90,118,98.7,16,37.8,193,90.9,88,65.5
76,81,University of Glasgow,University of Glasgow,UK,United Kingdom,XL,FC,VH,5.0,A,76.3,77,70.7,101,41.7,377,2023-08-31 00:00:00,423,96,143,99.5,41,90,80,2023-07-26 00:00:00,306,99.5,11,65.2
78,92,Durham University,Durham University,UK,United Kingdom,L,FC,VH,5.0,A,59.5,124,89.3,50,2023-08-27 00:00:00,548,53.3,241,97.5,125,86.9,135,86.2,108,29.2,274,97.6,30=,65.1
81,98,"Trinity College Dublin, The University of Dublin",Trinity College Dublin,IE,Ireland,L,FC,VH,5.0,A,69.3,92,39.8,238,2023-07-23 00:00:00,601,64.1,184,99.8,79,92.5,104,82.2,132,70.6,70,75.6,173=,63.5
81,78,University of Southampton,University of Southampton,UK,United Kingdom,L,FC,VH,5.0,A,51.5,154,51.2,160,52.8,298,71.4,140,96.1,138,97.4,70,97,31,32.5,235,82.7,133=,63.5
84,91,University of Birmingham,University of Birmingham,UK,United Kingdom,XL,FC,VH,5.0,A,67.5,99,75.7,81,41.3,379,38.2,364,92.3,169,83.9,148,96,41,2023-05-29 00:00:00,270,80.4,146=,63
85,95,Lund University,Lund University,SE,Sweden,L,FC,VH,5.0,A,69.3,93,47.5,185,50.2,310,37.7,373,98.8,102,77.4,173,95.2,52,66,83,99.1,14,62.8
87,75,Lomonosov Moscow State University,Moscow State University,RU,Russia,XL,FC,VH,5.0,A,81.2,69,78.3,74,99.8,26,2023-06-04 00:00:00,701+,2023-03-20 00:00:00,587,92.3,105,85.2,115,82.2,48,2023-04-13 00:00:00,631=,62.2
87,65=,Ruprecht-Karls-Universität Heidelberg,Heidelberg University,DE,Germany,L,FO,VH,5.0,A,78.3,75,52,156,99.7,29,38.2,365,52.5,349,50.4,290,89.7,88,2023-08-19 00:00:00,423,42.6,345=,62.2
91,83=,University of Zurich,University of Zurich,CH,Switzerland,L,FC,VH,5.0,A,59.1,126,2023-06-27 00:00:00,352,89.9,88,52,248,100,60,53,274,87.2,100,75.2,58,80.2,149,61.6
95,96=,University of St Andrews,University of St Andrews,UK,United Kingdom,M,FO,VH,5.0,A,47.3,173,67.2,114,64.9,212,57.7,223,98.7,103,100,29,51.1,306,2023-04-22 00:00:00,370,92.1,77=,61
98,118=,Freie Universitaet Berlin,Free University of Berlin,DE,Germany,L,FC,VH,4.0,A,80.8,70,51,163,2023-04-04 00:00:00,701+,71.4,141,62.8,308,43.6,332,84.9,118,2023-09-21 00:00:00,378,60.1,251,60.8
100,114,University of Nottingham,University of Nottingham,UK,United Kingdom,XL,FC,VH,5.0,A,60.7,116,72.1,96,32.2,492,46.5,290,90,183,75.2,185,98.4,18,2023-04-24 00:00:00,342,80,150=,60.4
104,96=,The University of Sheffield,University of Sheffield,UK,United Kingdom,L,FC,VH,5.0,A,58.7,130,52.3,153,54.7,278,46.9,289,84,218,97.5,69,96.1,38,2023-09-24 00:00:00,332,76.3,169,59.7
105,128,Uppsala University,Uppsala University,SE,Sweden,L,FC,VH,5.0,A,62.7,111,2023-05-30 00:00:00,320,47.7,330,45.6,296,98.3,108,82.4,152,95.5,47,58.2,105,99.4,12,59.4
106,147=,RWTH Aachen University,RWTH Aachen University,DE,Germany,XL,FC,VH,5.0,A,49.7,163,93,44,2023-05-05 00:00:00,701+,78.7,120,49,362,83,151,63.5,223,2023-09-23 00:00:00,354,53.4,288=,59.3
107,82,University of Copenhagen,University of Copenhagen,DK,Denmark,XL,FC,VH,5.0,A,74.1,80,2023-08-25 00:00:00,371,100,19,2023-02-21 00:00:00,543,91.4,175,2023-05-22 00:00:00,506,98.2,19,60.1,98,87.4,108=,58.8
107,112=,Utrecht University,Utrecht University,NL,Netherlands,XL,FC,VH,5.0,A,66.6,102,31.6,311,32.6,487,80.8,108,57.1,323,2023-02-21 00:00:00,531,95,54,2023-05-26 00:00:00,309,83.5,128=,58.8
109,116=,Aalto University,Aalto University,FI,Finland,L,FO,VH,2.0,A,44.6,187,41.8,223,40.2,391,79.4,112,95.5,147,37.7,363,56.2,277,88.9,39,95,53=,58.7
110,122,Newcastle University,Newcastle University,UK,United Kingdom,L,FC,VH,4.0,A,48,170,74.5,87,35.6,445,50.2,264,90,182,70.9,203,96.1,39,2023-01-24 00:00:00,349,98.8,17,58.6
115,106=,University of Helsinki,University of Helsinki,FI,Finland,L,CO,VH,5.0,A,65.1,105,32.3,304,63.4,223,49.8,265,71.5,268,2023-04-05 00:00:00,701+,96,40,65.7,86,82.7,133=,57.2
117,101,University of Oslo,University of Oslo,NO,Norway,L,FC,VH,5.0,A,55.8,139,2023-02-11 00:00:00,601+,81.7,132,64.2,183,86.1,202,2023-04-25 00:00:00,472,95.9,43,41.8,173,91.8,80=,56.9
118,153,Stockholm University,Stockholm University,SE,Sweden,L,CO,VH,4.0,A,54.1,145,2023-02-15 00:00:00,543,2023-02-28 00:00:00,543,71.9,138,81.5,223,84.1,147,95.3,51,76.2,57,75.1,175=,56.8
119,141=,"KIT, Karlsruhe Institute of Technology",Karlsruhe Institute of Technology,DE,Germany,L,CO,VH,4.0,A,45.6,182,76.8,76,36,443,71.9,139,70.4,275,46.7,312,76,166,38.7,187,2023-09-23 00:00:00,504=,56.4
120,131=,Humboldt-Universität zu Berlin,Humboldt University of Berlin,DE,Germany,XL,FC,VH,5.0,A,90.2,43,65.9,120,2023-06-07 00:00:00,701+,2023-03-31 00:00:00,425,68.1,286,2023-05-31 00:00:00,406,86,110,2023-04-14 00:00:00,586,37.5,382=,56.3
121,104=,Technical University of Denmark,Technical University of Denmark,DK,Denmark,M,FO,VH,5.0,A,32.5,270,2023-03-16 00:00:00,525,99.8,27,83.4,99,100,53,82,153,71.6,189,2023-09-28 00:00:00,275,54.9,277=,56.2
122,146,Lancaster University,Lancaster University,UK,United Kingdom,L,FC,VH,4.0,A,39.7,215,40.2,236,2023-02-25 00:00:00,581,79.3,115,93.6,157,90.6,116,75.3,171,2023-07-20 00:00:00,400,98,24,55.7
123,139,Politecnico di Milano,Polytechnic University of Milan,IT,Italy,XL,FO,VH,5.0,A,69.3,94,71.2,99,2023-02-05 00:00:00,701+,48.3,282,63.8,302,56.6,262,75.1,173,36.9,201,2023-04-29 00:00:00,453=,55.2
124,138,Eindhoven University of Technology,Eindhoven University of Technology,NL,Netherlands,M,FO,VH,4.0,A,2023-03-29 00:00:00,295,76.2,78,40.4,390,89.7,75,100,30,70.8,205,40.1,377,2023-07-19 00:00:00,426,18,567=,55
124,136,University of Basel,University of Basel,CH,Switzerland,M,FC,VH,5.0,A,2023-08-27 00:00:00,314,2023-08-17 00:00:00,494,57.4,253,96.5,44,100,34,85,143,74.4,175,41.1,179,70.4,201=,55
126,131=,Leiden University,Leiden University,NL,Netherlands,XL,FC,VH,5.0,A,69.1,95,2023-08-26 00:00:00,362,2023-02-20 00:00:00,659,62.7,190,85.5,204,50.2,292,93.7,61,2023-09-26 00:00:00,303,46,331=,54.8
126,120,University of Bern,University of Bern,CH,Switzerland,M,FO,VH,5.0,A,2023-05-30 00:00:00,284,2023-04-24 00:00:00,396,54.6,280,99.2,17,100,42,36.9,369,89.1,89,2023-01-26 00:00:00,313,73.6,182=,54.8
128,125=,University of Geneva,University of Geneva,CH,Switzerland,L,FC,VH,5.0,A,45.1,184,2023-01-14 00:00:00,579,42,374,75.4,127,100,45,96.3,81,87.3,99,31,246,63.1,232=,54.2
129,125=,Chalmers University of Technology,Chalmers University of Technology,SE,Sweden,M,FO,VH,5.0,B,2023-06-26 00:00:00,326,51.5,158,51.1,306,80.9,107,100,49,67.4,220,52.2,299,2023-07-28 00:00:00,278,82.9,132,54
130,151,University of Vienna,University of Vienna,AT,Austria,XL,FC,VH,5.0,A,70.8,88,42.5,217,22,629,2023-05-14 00:00:00,646,99.3,92,88.1,129,93.5,62,56.8,109,74.1,180,53.7
134,171,Sapienza University of Rome,Sapienza University of Rome,IT,Italy,XL,FC,VH,5.0,A,79.2,74,41,229,2023-06-04 00:00:00,701+,44.9,301,3,701+,2023-08-10 00:00:00,697,96.9,33,59.8,101,92,79,52.9
139,145,University of Groningen,University of Groningen,NL,Netherlands,XL,FC,VH,5.0,A,52.9,148,2023-09-29 00:00:00,326,51.4,304,42.9,311,93.5,159,85.6,140,92.1,67,2023-03-22 00:00:00,372,67.7,214,52.5
143,161,Aarhus University,Aarhus University,DK,Denmark,L,FC,VH,4.0,A,55.8,140,2023-07-24 00:00:00,387,32.5,490,54.1,238,90.3,181,2023-01-13 00:00:00,661,94.8,56,45.1,156,98.4,18=,52
145,125=,Queen Mary University of London,Queen Mary University of London,UK,United Kingdom,L,FC,VH,5.0,A,48.8,168,32.8,300,38.7,409,50.7,260,99.7,85,99.4,43,72.8,184,2023-08-16 00:00:00,506,69.9,207=,51.9
148,179=,University of Bath,University of Bath,UK,United Kingdom,L,CO,VH,4.0,A,35.6,244,74.3,88,2023-01-16 00:00:00,701+,61.9,196,96.3,136,81.6,155,59.3,251,2023-05-26 00:00:00,310,48.4,316=,51.8
149,178,Universitat Autònoma de Barcelona,Autonomous University of Barcelona,ES,Spain,XL,FC,VH,4.0,A,63.2,109,39,246,2023-06-10 00:00:00,701+,70.6,145,18,615,2023-04-17 00:00:00,582,84.2,123,2023-07-13 00:00:00,623,94.6,60,51.7
151,124,Wageningen University & Research,Wageningen University & Research,NL,Netherlands,L,FO,VH,5.0,A,43.3,196,19,472,97.9,47,46,292,55,336,78.5,170,97.8,22,19,438,71.5,196=,51.3
153,163,The University of Exeter,University of Exeter,UK,United Kingdom,L,FC,VH,4.0,A,43,199,51.1,161,2023-04-27 00:00:00,555,43.3,308,91.6,174,76.2,180,89.8,85,2023-07-19 00:00:00,424,94.8,57,50.9
154,167=,Alma Mater Studiorum - University of Bologna,University of Bologna,IT,Italy,XL,FC,VH,5.0,A,79.6,73,40,237,2023-04-03 00:00:00,701+,49.5,267,8,701+,2023-09-10 00:00:00,695,91,75,34.8,219,56.5,268=,50.5
154,166,Cardiff University,Cardiff University,UK,United Kingdom,L,FC,VH,5.0,A,46.5,176,48.3,181,33.7,474,39.6,347,84,217,70.6,206,81.6,138,2023-09-18 00:00:00,442,97.9,25,50.5
154,158,Technische Universität Berlin (TU Berlin),Technical University of Berlin,DE,Germany,L,CO,VH,5.0,A,56.2,137,69.3,107,53,296,2023-09-24 00:00:00,492,51.3,351,68.8,214,55,284,2023-04-25 00:00:00,327,52.1,294,50.5
159,143=,Ghent University,Ghent University,BE,Belgium,XL,FC,VH,5.0,A,53.4,146,2023-02-25 00:00:00,379,78.9,141,2023-01-25 00:00:00,486,79.6,231,2023-02-21 00:00:00,528,99.8,8,52,124,91.3,84=,50.2
164,184,Universitat de Barcelona,University of Barcelona,ES,Spain,XL,FC,VH,5.0,A,73.2,83,23,412,2023-01-13 00:00:00,701+,41.8,325,2023-08-21 00:00:00,574,2023-05-28 00:00:00,437,97.8,23,39.8,180,98.1,23,49.7
167,162,University of York,University of York,UK,United Kingdom,L,FC,VH,4.0,A,43.5,194,35.3,275,45,351,40.3,342,88.3,192,78.2,171,79.2,150,2023-08-19 00:00:00,421,97.8,26=,49.4
169,229,University of Reading,University of Reading,UK,United Kingdom,L,CO,VH,5.0,A,33.2,263,39.3,241,2023-01-16 00:00:00,701+,67.4,161,88.4,189,81,158,77.8,158,32.3,237,72.5,189=,48.9
171,226=,Complutense University of Madrid,Complutense University of Madrid,ES,Spain,XL,FC,VH,4.0,A,68.2,96,69.3,105,2023-08-25 00:00:00,573,7,701+,9,701+,2023-06-25 00:00:00,469,83.4,127,57.9,106,96.3,41,48.8
171,181=,University College Dublin,University College Dublin,IE,Ireland,L,FC,VH,5.0,A,49.8,162,41.3,226,2023-07-20 00:00:00,652,38.9,354,98.8,101,60.8,245,50.5,309,69,75,70.1,204=,48.8
176,208=,Erasmus University Rotterdam,Erasmus University Rotterdam,NL,Netherlands,XL,FO,VH,5.0,A,37.3,232,50.9,165,2023-05-22 00:00:00,624,53.4,240,83,221,60.1,247,71.6,190,63.7,91,49.4,312=,48.5
176,190=,University of Liverpool,University of Liverpool,UK,United Kingdom,L,FC,VH,5.0,A,44.4,191,35,277,39.7,401,37.9,371,87.8,194,79,168,97.2,29,2023-06-25 00:00:00,324,72,193,48.5
180,195=,Université catholique de Louvain (UCLouvain),Université catholique de Louvain,BE,Belgium,L,FC,VH,5.0,B,49.1,166,2023-08-30 00:00:00,317,2023-04-04 00:00:00,701+,60.2,203,89.4,186,39.3,347,83.2,130,51.7,125,54.6,279=,48
184,111,École Normale Supérieure de Lyon,École normale supérieure de Lyon,FR,France,S,CO,VH,5.0,A,2023-05-30 00:00:00,285,2023-04-14 00:00:00,570,95.7,59,98.4,27,70.8,272,2023-06-14 00:00:00,628,34.3,425,10,701+,2023-09-05 00:00:00,701+,47.6
184,179=,Technische Universität Wien,TU Wien,AT,Austria,M,FO,VH,5.0,A,32.9,266,44.4,201,2023-01-13 00:00:00,701+,85.7,91,79.3,232,89,123,45.1,347,2023-02-13 00:00:00,649,19,552=,47.6
187,185=,University of Gothenburg,University of Gothenburg,SE,Sweden,L,FC,VH,4.0,A,36.2,239,2023-09-16 00:00:00,511,56.3,261,39.4,349,90.6,179,80.8,160,86.4,104,46.3,151,97.6,30=,47.3
189,210=,Universite libre de Bruxelles,Université libre de Bruxelles,BE,Belgium,L,FC,VH,5.0,A,34.4,249,38.9,247,2023-03-03 00:00:00,701+,63.3,186,97.1,126,85,144,69.1,201,35.7,207,60.4,249=,46.8
192,189,Albert-Ludwigs-Universitaet Freiburg,University of Freiburg,DE,Germany,L,FC,VH,5.0,A,46.1,179,2023-08-19 00:00:00,460,2023-01-29 00:00:00,531,63.3,187,68.8,281,36.3,371,82.7,131,2023-03-25 00:00:00,328,68.2,213,46.7
192,174=,Ecole des Ponts ParisTech,École des ponts ParisTech,FR,France,S,FO,VH,5.0,A,2023-03-08 00:00:00,601+,57.9,142,98.2,45,80.7,109,34.6,458,96.8,75,2023-06-05 00:00:00,701+,30,261,2023-02-19 00:00:00,549=,46.7
199,215=,Universidad Autónoma de Madrid,Autonomous University of Madrid,ES,Spain,L,FC,VH,4.0,A,60.4,117,57.7,145,34.5,464,2023-01-25 00:00:00,485,2023-08-07 00:00:00,701+,12,678,80.4,143,2023-06-19 00:00:00,428,88.8,97=,45.9
202,233=,Queen's University Belfast,Queen's University Belfast,UK,United Kingdom,L,FC,VH,5.0,A,33.6,258,2023-03-30 00:00:00,321,2023-05-27 00:00:00,554,43.5,307,100,75,98.9,54,84.1,124,2023-03-14 00:00:00,589,91,87,45.8
205,228,Universität Hamburg,University of Hamburg,DE,Germany,L,FC,VH,5.0,A,51,160,2023-07-28 00:00:00,340,2023-09-16 00:00:00,701+,60,205,41.6,395,2023-03-22 00:00:00,512,87.2,101,2023-08-26 00:00:00,305,52.8,292=,45.1
207,214,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,NL,Netherlands,XL,FC,VH,5.0,A,39.6,217,2023-07-15 00:00:00,531,2023-06-23 00:00:00,607,68.1,156,68.5,284,40.2,340,70.1,195,2023-02-20 00:00:00,414,89.1,95=,44.9
208,220=,University of Aberdeen,University of Aberdeen,UK,United Kingdom,L,FC,VH,5.0,A,2023-06-29 00:00:00,292,32.5,302,2023-06-29 00:00:00,525,42.1,322,95.8,144,96.7,77,73.3,180,2023-05-20 00:00:00,408,98.1,21,44.6
210,212=,University of Twente,University of Twente,NL,Netherlands,M,FO,VH,4.0,A,2023-06-20 00:00:00,422,38.3,254,39.4,404,65.3,171,99.3,94,91.1,112,67.6,208,2023-06-12 00:00:00,687,33.2,416=,44.4
212,256=,Loughborough University,Loughborough University,UK,United Kingdom,L,CO,VH,4.0,A,2023-05-30 00:00:00,283,66.8,116,2023-06-23 00:00:00,604,34.6,392,87.3,198,63.5,237,77.1,162,2023-08-18 00:00:00,446,63.4,231,44.2
213,169,Eberhard Karls Universität Tübingen,University of Tübingen,DE,Germany,L,FC,VH,5.0,A,45.8,180,2023-09-29 00:00:00,325,92.9,71,2023-07-19 00:00:00,560,67.6,289,2023-07-26 00:00:00,454,89.9,84,2023-01-21 00:00:00,393,42.3,351=,44.1
218,240=,University of Sussex,University of Sussex,UK,United Kingdom,L,FC,VH,4.0,A,2023-09-22 00:00:00,380,2023-09-08 00:00:00,601+,2023-06-14 00:00:00,701+,70.9,142,96.1,137,93,100,62.9,226,2023-06-30 00:00:00,251,97.2,35,43.1
219,243=,Università di Padova,University of Padua,IT,Italy,XL,FC,VH,5.0,A,57.3,133,22,428,2023-08-07 00:00:00,701+,51.8,250,2023-09-12 00:00:00,701+,2023-04-09 00:00:00,701+,91.3,73,2023-08-13 00:00:00,620,95,55,43
220,203=,University of Lausanne,University of Lausanne,CH,Switzerland,L,FO,VH,5.0,A,2023-04-29 00:00:00,294,2023-01-15 00:00:00,545,36.6,434,65.1,173,99.9,77,56.6,263,48,327,2023-09-27 00:00:00,290,61.6,245,42.7
222,232,Radboud University,Radboud University Nijmegen,NL,Netherlands,L,FC,VH,5.0,A,2023-09-28 00:00:00,302,2023-09-13 00:00:00,585,2023-06-27 00:00:00,551,74.9,129,78.3,236,2023-02-20 00:00:00,544,78.8,155,2023-07-15 00:00:00,533,82.7,133=,42.5
229,340=,Friedrich-Alexander-Universität Erlangen-Nürnberg,University of Erlangen–Nuremberg,DE,Germany,L,FC,VH,5.0,A,2023-02-25 00:00:00,347,2023-09-20 00:00:00,446,2023-08-02 00:00:00,701+,95.8,48,2023-08-26 00:00:00,511,39.9,342,75.1,172,2023-05-15 00:00:00,541,69.9,207=,41.7
232,215=,University of Göttingen,University of Göttingen,DE,Germany,L,FC,VH,5.0,A,47.4,172,29,338,70.1,183,2023-07-17 00:00:00,587,49.5,361,2023-05-22 00:00:00,505,91.8,71,2023-09-21 00:00:00,379,55.5,274,41.4
235,281=,Heriot-Watt University,Heriot-Watt University,UK,United Kingdom,M,CO,VH,4.0,A,2023-04-16 00:00:00,537,2023-01-21 00:00:00,438,2023-06-18 00:00:00,701+,79.4,113,100,67,97.6,66,40.2,375,2023-03-21 00:00:00,392,43.5,342=,41.2
236,248=,Université de Paris-Cité,Université Paris Cité,FR,France,XL,FO,VH,1.0,A,31.6,275,2023-09-05 00:00:00,601+,2023-02-09 00:00:00,701+,93.7,61,2023-03-19 00:00:00,598,41.5,336,99.6,11,2023-06-11 00:00:00,701+,46,331=,41.1
239,201,Rheinische Friedrich-Wilhelms-Universität Bonn,University of Bonn,DE,Germany,L,FC,VH,5.0,A,52.4,151,2023-08-19 00:00:00,458,58,247,2023-01-22 00:00:00,526,41.5,397,37.5,365,90.7,79,2023-09-25 00:00:00,319,35.2,399,40.6
244,305,University of Surrey,University of Surrey,UK,United Kingdom,L,CO,VH,4.0,A,2023-04-20 00:00:00,428,2023-04-23 00:00:00,409,2023-02-23 00:00:00,613,56.2,230,96.8,129,88.3,127,71.1,192,2023-08-16 00:00:00,503,57.7,259=,39.9
246,275=,Technical University of Darmstadt,Technische Universität Darmstadt,DE,Germany,L,FO,VH,5.0,A,21,417,37.5,263,2023-02-06 00:00:00,701+,79,117,62.6,310,74.6,188,32.5,439,33.5,229,2023-09-19 00:00:00,545=,39.7
246,200,Technische Universität Dresden,TU Dresden,DE,Germany,L,FC,VH,5.0,A,37.5,231,37.7,258,91.2,79,2023-08-14 00:00:00,639,46.2,373,35.2,379,87.4,98,2023-02-11 00:00:00,701+,2023-07-30 00:00:00,438=,39.7
248,288=,Charles University,Charles University,CZ,Czech Republic,XL,FC,VH,5.0,A,45.5,183,43.5,210,34.8,456,2023-04-09 00:00:00,701+,2023-08-24 00:00:00,539,51.2,283,90.9,77,2023-06-27 00:00:00,294,83.9,125,39.6
248,280,University of Antwerp,University of Antwerp,BE,Belgium,L,FC,VH,2.0,A,2023-07-23 00:00:00,362,2023-08-11 00:00:00,601+,45.3,349,49.2,272,90.9,177,32.3,397,90,81,2023-06-29 00:00:00,268,80.4,146=,39.6
252,325=,Politecnico di Torino,Polytechnic University of Turin,IT,Italy,XL,FO,VH,5.0,A,38.5,225,44.9,194,2023-04-02 00:00:00,701+,57.9,222,2023-01-04 00:00:00,701+,46.7,313,49.9,313,2023-03-21 00:00:00,391,57.4,263=,39.2
253,274,University of Porto,University of Porto,PT,Portugal,XL,FC,VH,5.0,A,39.8,214,2023-09-22 00:00:00,414,2023-01-11 00:00:00,701+,58.1,219,2023-03-07 00:00:00,701+,2023-07-18 00:00:00,564,93.8,60,2023-06-17 00:00:00,473,77.3,167=,39
256,278,Maastricht University,Maastricht University,NL,Netherlands,L,FO,VH,3.0,A,2023-04-23 00:00:00,369,2023-03-22 00:00:00,422,2023-08-12 00:00:00,701+,62.7,193,99.5,90,100,17,46.5,333,27,302,2023-07-13 00:00:00,627=,38.7
259,251,Vrije Universiteit Brussel (VUB),Vrije Universiteit Brussel,BE,Belgium,L,FC,VH,4.0,A,2023-01-23 00:00:00,373,2023-08-16 00:00:00,512,75.9,160,22,527,93.6,158,59.2,252,88.4,94,2023-01-31 00:00:00,244,67.4,215=,38.6
262,284=,University of Warsaw,University of Warsaw,PL,Poland,XL,CO,VH,5.0,A,48.7,169,53.4,150,41.9,375,2023-03-06 00:00:00,701+,2023-08-09 00:00:00,701+,2023-06-08 00:00:00,701+,62.1,233,36.7,204,80,150=,38.1
266,335=,University of Lisbon,University of Lisbon,PT,Portugal,XL,FC,VH,5.0,A,42.2,201,21,442,2023-07-12 00:00:00,701+,35.1,387,2023-03-09 00:00:00,701+,2023-07-30 00:00:00,415,97.4,27,65.8,85,66.5,220=,37.7
268,320=,Linköping University,Linköping University,SE,Sweden,L,CO,VH,3.0,A,19,470,2023-06-26 00:00:00,363,34.8,457,48.8,277,77.8,239,2023-03-30 00:00:00,420,57.9,260,34.7,221,87.4,108=,37.5
268,335=,University of Cologne,University of Cologne,DE,Germany,L,FO,VH,5.0,A,36.9,235,38.5,253,2023-03-19 00:00:00,686,31.2,427,40.5,406,2023-09-30 00:00:00,413,80.9,141,37,199,57.4,263=,37.5
272,279,University of Leicester,University of Leicester,UK,United Kingdom,L,FC,VH,5.0,A,2023-02-21 00:00:00,412,2023-02-14 00:00:00,576,36.1,441,45.3,298,80.8,226,94.1,91,75.7,167,2023-08-17 00:00:00,468,50.9,301=,37.3
276,324,University of Milan,University of Milan,IT,Italy,XL,FC,VH,4.0,A,51.2,159,2023-07-12 00:00:00,601+,2023-06-05 00:00:00,701+,47.8,284,2023-05-07 00:00:00,701+,2023-08-06 00:00:00,701+,59,255,2023-02-24 00:00:00,345,92.1,77=,37
