Unnamed: 0,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Institution Name - WRONG,Wikidata
134,=326,347=,University of Southern Denmark,DK,Denmark,L,CO,VH,4.0,A,20.0,441,18.0,485,27.1,558,40.7,337,83.2,220,22.7,503,49.7,315,17.7,469,88.7,100,32.7,University of Southern Denmark (SDU),"{""entities"": {""Q2166335"": {""type"": ""item"", ""id"": ""Q2166335"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""University in Denmark""}}}}, ""success"": 1}"
135,=328,355=,"City, University of London",UK,United Kingdom,L,CO,VH,5.0,A,21.4,405,18.1,483,6.7,701+,42.2,321,95.0,151,99.3,46,22.1,527,28.3,284,41.7,356,32.6,"City, University of London","{""entities"": {""Q1094046"": {""type"": ""item"", ""id"": ""Q1094046"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
136,=328,300=,Paris 1 Panthéon-Sorbonne University,FR,France,XL,FO,VH,5.0,A,65.2,104,24.9,385,4.2,701+,3.4,701+,38.2,421,46.4,314,30.0,458,32.2,238,16.3,588=,32.6,Université Paris 1 Panthéon-Sorbonne,"{""entities"": {""Q999763"": {""type"": ""item"", ""id"": ""Q999763"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university located at the heart of the Latin Quarter, in Paris""}}}}, ""success"": 1}"
137,=328,240=,Università della Svizzera italiana,CH,Switzerland,S,FO,VH,3.0,A,5.8,601+,3.9,601+,82.9,120,56.4,229,100.0,23,100.0,11,4.2,701+,7.9,701+,1.2,701+,32.6,USI - Università della Svizzera italiana,"{""entities"": {""Q689617"": {""type"": ""item"", ""id"": ""Q689617"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Lugano and Mendrisio, Switzerland""}}}}, ""success"": 1}"
138,335,416=,University of Naples Federico II,IT,Italy,XL,FC,VH,5.0,A,35.2,245,17.0,508,4.3,701+,61.8,197,2.4,701+,1.1,701+,81.6,137,7.1,701+,34.6,403=,32.3,University of Naples - Federico II,"{""entities"": {""Q691851"": {""type"": ""item"", ""id"": ""Q691851"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Naples""}}}}, ""success"": 1}"
139,=336,330,Aalborg University,DK,Denmark,L,FC,VH,3.0,A,20.0,442,22.2,424,31.5,500,42.4,317,76.4,244,18.2,570,79.2,151,14.7,569,35.8,393=,32.2,Aalborg University,"{""entities"": {""Q601956"": {""type"": ""item"", ""id"": ""Q601956"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Denmark""}}}}, ""success"": 1}"
140,=336,501-510,Middle East Technical University,TR,Turkey,L,CO,VH,4.0,A,29.0,299,63.7,125,9.0,701+,22.2,525,11.3,701+,17.4,583,32.2,443,24.6,339,84.8,120=,32.2,Middle East Technical University,"{""entities"": {""Q756126"": {""type"": ""item"", ""id"": ""Q756126"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university located in Ankara""}}}}, ""success"": 1}"
141,=336,375=,University of Kent,UK,United Kingdom,L,CO,VH,4.0,A,17.0,522,6.7,601+,13.3,701+,43.9,306,96.6,133,72.8,195,43.0,354,20.2,413,85.2,118=,32.2,University of Kent,"{""entities"": {""Q1516684"": {""type"": ""item"", ""id"": ""Q1516684"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university based in Kent, United Kingdom""}}}}, ""success"": 1}"
142,342,295,Patrice Lumumba Peoples' Friendship University of Russia,RU,Russia,L,FC,VH,4.0,A,22.4,395,45.0,192,92.2,74,2.0,701+,8.2,701+,92.7,103,60.1,242,12.2,701+,4.4,701+,32.0,RUDN University,"{""entities"": {""Q839669"": {""type"": ""item"", ""id"": ""Q839669"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Moscow, Russia""}}}}, ""success"": 1}"
143,343,412=,Brunel University London,UK,United Kingdom,L,CO,VH,4.0,A,11.3,601+,13.3,601+,7.9,701+,44.2,303,99.7,84,99.6,39,56.9,269,18.5,450,62.8,235=,31.9,Brunel University London,"{""entities"": {""Q932411"": {""type"": ""item"", ""id"": ""Q932411"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in London, UK""}}}}, ""success"": 1}"
144,344,501-510,University of Aveiro,PT,Portugal,L,CO,VH,4.0,A,13.4,601+,6.6,601+,13.8,701+,84.3,98,4.3,701+,13.5,651,72.3,188,6.7,701+,69.3,210=,31.6,University of Aveiro,"{""entities"": {""Q29671"": {""type"": ""item"", ""id"": ""Q29671"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Portuguese public university, founded in 1973""}}}}, ""success"": 1}"
145,=347,422=,National Technical University of Athens,GR,Greece,L,FO,VH,5.0,A,20.5,425,42.7,215,4.7,701+,72.3,137,1.3,701+,4.3,701+,32.0,447,31.8,240,7.8,701+,31.4,National Technical University of Athens,"{""entities"": {""Q1640726"": {""type"": ""item"", ""id"": ""Q1640726"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Greek university""}}}}, ""success"": 1}"
146,=349,488=,Technical University of Madrid,ES,Spain,XL,SP,,4.0,A,31.2,280,49.3,176,14.9,701+,11.4,701+,3.2,701+,30.7,416,59.9,243,37.3,196,83.5,128=,31.3,Universidad Politécnica de Madrid (UPM),"{""entities"": {""Q25864"": {""type"": ""item"", ""id"": ""Q25864"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Spain""}}}}, ""success"": 1}"
147,=349,404,University of Pisa,IT,Italy,L,FC,VH,5.0,A,40.4,211,12.7,601+,7.5,701+,41.1,333,5.9,701+,4.1,701+,67.6,209,13.4,642,73.6,182=,31.3,University of Pisa,"{""entities"": {""Q645663"": {""type"": ""item"", ""id"": ""Q645663"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian public research university located in Pisa""}}}}, ""success"": 1}"
148,=351,388=,LUT University,FI,Finland,S,SP,,4.0,A,6.9,601+,13.3,601+,11.1,701+,97.7,36,45.2,378,18.2,573,14.7,599,11.4,701+,39.0,367=,31.2,Lappeenranta-Lahti University of Technology LUT,"{""entities"": {""Q1809949"": {""type"": ""item"", ""id"": ""Q1809949"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Lappeenranta and Lahti, Finland""}}}}, ""success"": 1}"
149,=351,438=,University of Coimbra,PT,Portugal,L,FC,VH,5.0,A,28.9,304,13.1,601+,11.3,701+,41.6,329,10.7,701+,37.7,364,78.8,153,15.6,537,79.5,154,31.2,University of Coimbra,"{""entities"": {""Q368643"": {""type"": ""item"", ""id"": ""Q368643"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Coimbra, Portugal""}}}}, ""success"": 1}"
150,354,343=,Polytechnic University of Catalonia,ES,Spain,L,FO,VH,4.0,A,31.9,274,22.0,426,41.2,380,22.3,524,8.0,701+,21.2,532,72.8,183,15.1,556,73.3,186,31.0,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),"{""entities"": {""Q1640731"": {""type"": ""item"", ""id"": ""Q1640731"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Barcelona, Catalonia, Spain (European Union)""}}}}, ""success"": 1}"
151,=358,460,University of Florence,IT,Italy,XL,FC,VH,5.0,A,33.6,259,5.7,601+,4.1,701+,49.6,266,8.1,701+,10.7,701+,73.0,181,17.4,476,81.1,142=,30.8,University of Florence,"{""entities"": {""Q820887"": {""type"": ""item"", ""id"": ""Q820887"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Italy""}}}}, ""success"": 1}"
152,=358,296=,University of Tartu,EE,Estonia,M,FC,VH,5.0,A,24.4,355,9.0,601+,91.5,78,11.5,701+,46.5,372,22.2,513,73.7,177,42.1,171,27.6,471=,30.8,University of Tartu,"{""entities"": {""Q204181"": {""type"": ""item"", ""id"": ""Q204181"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the city of Tartu, Estonia""}}}}, ""success"": 1}"
153,=362,308=,University of Innsbruck,AT,Austria,L,FC,HI,5.0,A,20.2,433,7.0,601+,69.2,187,11.2,701+,100.0,65,100.0,27,32.9,434,35.7,208,16.5,586=,30.6,Universität Innsbruck,"{""entities"": {""Q875788"": {""type"": ""item"", ""id"": ""Q875788"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Innsbruck, Austria""}}}}, ""success"": 1}"
154,=364,475=,University of Turin,IT,Italy,XL,FC,VH,5.0,A,39.8,213,5.7,601+,2.9,701+,36.8,380,4.6,701+,5.4,701+,69.4,199,32.5,236,84.3,123=,30.3,University of Turin,"{""entities"": {""Q499911"": {""type"": ""item"", ""id"": ""Q499911"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Turin, Italy""}}}}, ""success"": 1}"
155,368,473=,University of Cyprus,CY,Cyprus,M,CO,VH,3.0,A,8.9,601+,3.1,601+,4.9,701+,77.8,123,92.9,165,25.4,471,55.9,279,18.6,448,24.4,497=,30.1,University of Cyprus (UCY),"{""entities"": {""Q1520608"": {""type"": ""item"", ""id"": ""Q1520608"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Nicosia, Cyprus""}}}}, ""success"": 1}"
156,=371,398=,Tilburg University,NL,Netherlands,L,FO,VH,4.0,A,15.2,573,33.4,294,10.4,701+,44.2,302,96.6,131,58.4,259,9.4,683,14.1,602,31.0,432=,29.9,Tilburg University,"{""entities"": {""Q595668"": {""type"": ""item"", ""id"": ""Q595668"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in The Netherlands""}}}}, ""success"": 1}"
157,374,343=,"Birkbeck, University of London",UK,United Kingdom,M,FO,VH,5.0,A,10.8,601+,3.5,601+,14.1,701+,65.1,172,97.5,123,98.0,62,9.1,692,12.3,701+,12.0,642=,29.7,"Birkbeck, University of London","{""entities"": {""Q375606"": {""type"": ""item"", ""id"": ""Q375606"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university located in Bloomsbury, London, England""}}}}, ""success"": 1}"
158,=375,416=,Ruhr University Bochum,DE,Germany,XL,FC,VH,4.0,A,21.2,411,11.0,601+,2.3,701+,59.7,208,61.1,314,29.6,425,62.3,231,14.7,570,18.0,567=,29.5,Ruhr-Universität Bochum,"{""entities"": {""Q309948"": {""type"": ""item"", ""id"": ""Q309948"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Germany""}}}}, ""success"": 1}"
159,381,,University of Luxembourg,LU,Luxembourg,M,CO,VH,2.0,,9.1,601+,4.9,601+,77.2,152,28.6,447,100.0,14,100.0,24,18.4,557,25.6,323,,,29.1,University of Luxembourg,"{""entities"": {""Q59668"": {""type"": ""item"", ""id"": ""Q59668"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
160,=382,501-510,University of Montpellier,FR,France,XL,FO,VH,5.0,A,19.4,461,3.4,601+,8.9,701+,57.6,224,23.9,550,32.3,398,99.8,9,10.7,701+,38.7,370=,29.0,Université de Montpellier,"{""entities"": {""Q776223"": {""type"": ""item"", ""id"": ""Q776223"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university located in Montpellier, founded in 1289""}}}}, ""success"": 1}"
161,=384,384=,University of Münster,DE,Germany,L,FC,VH,5.0,A,31.5,278,24.6,389,55.3,271,12.5,688,30.3,489,4.9,701+,59.1,252,26.1,314,27.6,471=,28.6,Westfälische Wilhelms-Universität Münster,"{""entities"": {""Q168426"": {""type"": ""item"", ""id"": ""Q168426"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""German university""}}}}, ""success"": 1}"
162,=387,490=,Aix-Marseille University,FR,France,XL,FC,VH,5.0,A,36.1,241,4.5,601+,8.3,701+,26.5,468,18.5,609,19.9,549,99.4,13,11.3,701+,64.5,228=,28.3,Aix-Marseille University,"{""entities"": {""Q2302586"": {""type"": ""item"", ""id"": ""Q2302586"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French public university located in Provence, founded in 2012 from the merger of Universit\u00e9 Aix Marseille I, Aix Marseille II and Aix Marseille III""}}}}, ""success"": 1}"
163,=387,288=,Belarusian State University,BY,Belarus,L,FO,VH,5.0,A,26.6,327,42.5,219,95.3,61,1.3,701+,4.1,701+,49.9,294,3.4,701+,24.5,341,1.4,701+,28.3,Belarusian State University,"{""entities"": {""Q2418908"": {""type"": ""item"", ""id"": ""Q2418908"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""University in Minsk""}}}}, ""success"": 1}"
164,=392,457=,Institut national des sciences appliquées de Lyon,FR,France,M,FO,VH,4.0,A,7.8,601+,29.4,331,37.1,425,50.8,258,29.4,492,69.3,213,18.8,553,12.8,674,20.5,540=,28.2,Institut National des Sciences Appliquées de Lyon (INSA),"{""entities"": {""Q1633859"": {""type"": ""item"", ""id"": ""Q1633859"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French engineering College""}}}}, ""success"": 1}"
165,=396,490=,University of Giessen,DE,Germany,L,FC,VH,5.0,A,13.6,601+,6.1,601+,1.7,701+,85.7,92,12.1,701+,18.9,561,63.8,221,9.5,701+,11.1,655,28.1,Justus-Liebig-University Giessen,"{""entities"": {""Q317053"": {""type"": ""item"", ""id"": ""Q317053"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""German public university""}}}}, ""success"": 1}"
166,=396,322,Kazan Federal University,RU,Russia,L,FC,VH,5.0,A,22.7,387,7.6,601+,93.7,68,2.8,701+,10.5,701+,96.1,82,61.7,234,11.2,701+,24.4,497=,28.1,Kazan (Volga region) Federal University,"{""entities"": {""Q113788"": {""type"": ""item"", ""id"": ""Q113788"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""academic publisher""}}}}, ""success"": 1}"
167,399,308=,Higher School of Economics,RU,Russia,XL,FO,VH,3.0,A,27.3,318,31.9,308,90.7,82,1.9,701+,6.3,701+,16.1,597,71.1,191,13.4,639,5.1,701+,28.0,HSE University,"{""entities"": {""Q1959511"": {""type"": ""item"", ""id"": ""Q1959511"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""education organization in Moscow, Russia""}}}}, ""success"": 1}"
168,=400,551-560,Masaryk University,CZ,Czech Republic,XL,CO,VH,5.0,A,23.2,371,32.2,305,10.4,701+,15.2,628,31.0,481,68.7,215,56.2,276,14.6,575,69.9,207=,27.9,Masaryk University,"{""entities"": {""Q763586"": {""type"": ""item"", ""id"": ""Q763586"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Brno, Czech Republic""}}}}, ""success"": 1}"
169,=400,369=,NOVA University Lisbon,PT,Portugal,L,FC,VH,4.0,A,28.0,313,20.2,452,19.6,679,24.2,498,24.0,548,47.0,309,63.5,224,18.8,444,40.2,362=,27.9,Universidade Nova de Lisboa,"{""entities"": {""Q1979891"": {""type"": ""item"", ""id"": ""Q1979891"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Portugal""}}}}, ""success"": 1}"
170,403,494=,University of Granada,ES,Spain,XL,FC,VH,5.0,A,44.0,192,9.8,601+,5.6,701+,23.3,509,3.4,701+,16.1,598,96.8,34,5.1,701+,36.1,391=,27.8,University of Granada,"{""entities"": {""Q1232180"": {""type"": ""item"", ""id"": ""Q1232180"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Spanish university""}}}}, ""success"": 1}"
171,=404,601-650,Istanbul Technical University,TR,Turkey,L,FO,VH,5.0,A,24.2,357,60.4,131,12.1,701+,13.3,674,7.3,701+,18.3,569,37.2,398,23.0,365,63.1,232=,27.6,Istanbul Technical University,"{""entities"": {""Q344334"": {""type"": ""item"", ""id"": ""Q344334"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university located in \u0130stanbul""}}}}, ""success"": 1}"
172,=413,438=,Oxford Brookes University,UK,United Kingdom,L,CO,HI,3.0,A,28.9,301,29.7,329,13.8,701+,8.4,701+,68.8,282,70.3,209,27.1,481,18.4,454,34.3,409=,27.1,Oxford Brookes University,"{""entities"": {""Q132478"": {""type"": ""item"", ""id"": ""Q132478"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Oxford, England""}}}}, ""success"": 1}"
173,=413,402=,"Royal Holloway, University of London",UK,United Kingdom,M,CO,VH,5.0,A,16.0,546,5.7,601+,13.7,701+,36.3,384,94.4,155,88.7,125,23.7,511,11.1,701+,38.1,377=,27.1,Royal Holloway University of London,"{""entities"": {""Q1202039"": {""type"": ""item"", ""id"": ""Q1202039"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Surrey, UK""}}}}, ""success"": 1}"
174,=415,267=,Moscow Institute of Physics and Technology,RU,Russia,M,FO,VH,4.0,A,19.8,446,19.9,455,96.0,57,16.0,620,31.4,480,53.1,273,5.4,701+,15.7,534,1.2,701+,27.0,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"{""entities"": {""Q1367256"": {""type"": ""item"", ""id"": ""Q1367256"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Russian university""}}}}, ""success"": 1}"
175,418,264=,Tomsk State University,RU,Russia,M,CO,VH,5.0,A,23.1,376,10.9,601+,99.4,32,5.1,701+,23.7,555,91.5,109,23.4,514,7.3,701+,3.0,701+,26.9,Tomsk State University,"{""entities"": {""Q742494"": {""type"": ""item"", ""id"": ""Q742494"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Russia""}}}}, ""success"": 1}"
176,=421,284=,Graz University of Technology,AT,Austria,M,FO,VH,5.0,A,14.5,595,11.0,601+,99.5,31,13.6,664,75.0,255,58.8,258,10.4,664,13.6,629,4.2,701+,26.7,Graz University of Technology,"{""entities"": {""Q689775"": {""type"": ""item"", ""id"": ""Q689775"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""institute of technology in Austria""}}}}, ""success"": 1}"
177,=421,260=,Novosibirsk State University,RU,Russia,M,CO,VH,4.0,A,27.5,317,14.4,572,93.5,69,12.6,685,6.7,701+,56.3,264,5.3,701+,12.9,667,6.8,701+,26.7,Novosibirsk State University,"{""entities"": {""Q1637997"": {""type"": ""item"", ""id"": ""Q1637997"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
178,=421,521-530,University of Liège,BE,Belgium,L,FC,VH,5.0,A,18.1,495,16.3,524,12.9,701+,27.2,461,50.7,355,48.5,306,79.3,149,16.2,516,47.8,318=,26.7,Université de Liège,"{""entities"": {""Q1334582"": {""type"": ""item"", ""id"": ""Q1334582"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Belgian public university founded in 1817""}}}}, ""success"": 1}"
179,=421,434=,University of Strasbourg,FR,France,XL,FC,VH,5.0,A,39.6,216,7.9,601+,5.3,701+,23.1,512,35.6,449,38.6,357,70.2,194,10.9,701+,14.9,614=,26.7,Université de Strasbourg,"{""entities"": {""Q157575"": {""type"": ""item"", ""id"": ""Q157575"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in France (1970- )""}}}}, ""success"": 1}"
180,426,531-540,University of Limerick,IE,Ireland,L,FC,HI,4.0,A,17.5,507,29.1,337,14.0,701+,21.9,529,88.4,190,28.6,434,34.6,421,13.9,614,58.9,254,26.6,University of Limerick,"{""entities"": {""Q573954"": {""type"": ""item"", ""id"": ""Q573954"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Ireland""}}}}, ""success"": 1}"
181,428,347=,IE University,ES,Spain,M,FO,HI,2.0,C,7.0,601+,40.9,230,56.2,262,2.6,701+,94.6,154,100.0,4,1.0,701+,39.4,183,6.0,701+,26.4,IE University,"{""entities"": {""Q283501"": {""type"": ""item"", ""id"": ""Q283501"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Spanish private university""}}}}, ""success"": 1}"
182,=429,457=,University of Trento,IT,Italy,L,CO,VH,4.0,A,24.6,352,8.9,601+,19.3,685,44.0,305,26.9,509,6.2,701+,61.0,238,9.3,701+,34.9,400=,26.3,University of Trento,"{""entities"": {""Q930528"": {""type"": ""item"", ""id"": ""Q930528"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Italian university""}}}}, ""success"": 1}"
183,=431,477=,Koç University,TR,Turkey,M,FC,HI,3.0,B,22.4,393,47.3,187,24.0,591,28.6,448,27.3,504,11.2,687,6.4,701+,11.0,701+,29.9,449=,26.2,Koç University,"{""entities"": {""Q1193155"": {""type"": ""item"", ""id"": ""Q1193155"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish private university located in \u0130stanbul""}}}}, ""success"": 1}"
184,=431,501-510,University of Stirling,UK,United Kingdom,M,CO,VH,4.0,A,11.5,601+,10.2,601+,10.5,701+,34.7,391,71.9,266,83.5,149,14.4,607,14.8,566,79.8,152=,26.2,University of Stirling,"{""entities"": {""Q963530"": {""type"": ""item"", ""id"": ""Q963530"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Scotland""}}}}, ""success"": 1}"
185,=436,471=,Dublin City University,IE,Ireland,L,FC,HI,3.0,A,19.7,452,27.0,360,25.6,575,12.4,690,76.0,248,19.3,557,19.3,548,24.8,334,81.7,137=,26.0,Dublin City University,"{""entities"": {""Q1202897"": {""type"": ""item"", ""id"": ""Q1202897"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
186,=436,415,Tampere University,FI,Finland,L,FC,VH,1.0,A,22.5,391,19.5,463,23.9,595,31.8,422,32.0,473,6.4,701+,56.4,275,20.6,406,37.2,387,26.0,Tampere University,"{""entities"": {""Q56403399"": {""type"": ""item"", ""id"": ""Q56403399"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in the city of Tampere, Finland""}}}}, ""success"": 1}"
187,=436,501-510,University of St. Gallen,CH,Switzerland,M,SP,,5.0,A,9.0,601+,27.6,350,6.2,701+,22.8,515,100.0,52,83.1,150,1.0,701+,94.8,26,1.6,701+,26.0,University of St.Gallen (HSG),"{""entities"": {""Q673354"": {""type"": ""item"", ""id"": ""Q673354"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Swiss university""}}}}, ""success"": 1}"
188,440,410=,University of Würzburg,DE,Germany,L,FC,VH,5.0,A,17.4,511,6.0,601+,4.9,701+,68.0,154,35.5,449,16.4,591,41.9,363,9.5,701+,11.7,647=,25.9,Julius-Maximilians-Universität Würzburg,"{""entities"": {""Q161976"": {""type"": ""item"", ""id"": ""Q161976"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Germany""}}}}, ""success"": 1}"
189,=441,354,University of Dundee,UK,United Kingdom,L,FC,HI,4.0,A,18.3,488,13.6,595,37.5,418,14.2,654,96.0,142,79.9,162,27.4,475,10.5,701+,21.8,524=,25.9,University of Dundee,"{""entities"": {""Q1249005"": {""type"": ""item"", ""id"": ""Q1249005"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Dundee, Scotland, UK""}}}}, ""success"": 1}"
190,=444,601-650,National and Kapodistrian University of Athens,GR,Greece,XL,FC,VH,5.0,A,26.3,336,31.6,312,2.0,701+,29.1,441,9.9,701+,16.2,595,72.8,182,28.9,276,16.1,592=,25.8,National and Kapodistrian University of Athens,"{""entities"": {""Q547867"": {""type"": ""item"", ""id"": ""Q547867"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Athens, Greece""}}}}, ""success"": 1}"
191,=446,561-570,Aston University,UK,United Kingdom,L,CO,VH,4.0,A,12.9,601+,22.8,416,10.0,701+,34.1,400,93.0,164,38.3,359,50.5,310,18.1,463,12.3,640=,25.7,Aston University,"{""entities"": {""Q750066"": {""type"": ""item"", ""id"": ""Q750066"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Birmingham, UK""}}}}, ""success"": 1}"
192,=446,350=,Johannes Kepler University Linz,AT,Austria,M,CO,VH,4.0,A,12.5,601+,13.5,598,82.9,122,16.1,617,86.3,201,27.2,447,26.5,487,11.1,701+,18.4,560=,25.7,Johannes Kepler University Linz,"{""entities"": {""Q682739"": {""type"": ""item"", ""id"": ""Q682739"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Linz, Austria""}}}}, ""success"": 1}"
193,=446,347=,University of Jyväskylä,FI,Finland,M,FO,VH,4.0,A,17.2,518,12.5,601+,86.2,100,15.3,626,40.9,404,2.8,701+,54.7,287,11.4,701+,30.2,447=,25.7,University of Jyväskylä,"{""entities"": {""Q578326"": {""type"": ""item"", ""id"": ""Q578326"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Jyv\u00e4skyl\u00e4, Finland""}}}}, ""success"": 1}"
194,=452,601-650,Claude Bernard University Lyon 1,FR,France,XL,FC,VH,5.0,A,18.9,471,4.1,601+,8.2,701+,55.3,233,7.9,701+,13.2,659,90.8,78,8.8,701+,26.6,481=,25.5,Université Claude Bernard Lyon 1,"{""entities"": {""Q4032"": {""type"": ""item"", ""id"": ""Q4032"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university of Lyon, France since 1970""}}}}, ""success"": 1}"
195,=454,378=,Czech Technical University in Prague,CZ,Czech Republic,L,SP,,5.0,A,21.5,403,37.6,259,75.8,161,4.1,701+,25.6,526,39.2,349,15.3,592,13.8,618,1.6,701+,25.2,Czech Technical University in Prague,"{""entities"": {""Q1329478"": {""type"": ""item"", ""id"": ""Q1329478"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
196,=454,541-550,University of Mannheim,DE,Germany,M,FO,VH,5.0,A,16.1,545,48.6,179,2.1,701+,45.1,299,29.1,495,20.9,536,2.0,701+,23.8,355,2.5,701+,25.2,Universität Mannheim,"{""entities"": {""Q317070"": {""type"": ""item"", ""id"": ""Q317070"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Germany""}}}}, ""success"": 1}"
197,459,465=,University of Essex,UK,United Kingdom,L,CO,VH,4.0,A,16.4,535,5.1,601+,13.0,701+,25.6,475,99.8,82,99.0,53,40.1,380,13.4,638,9.6,678=,25.1,"Essex, University of","{""entities"": {""Q1075104"": {""type"": ""item"", ""id"": ""Q1075104"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Essex, United Kingdom""}}}}, ""success"": 1}"
198,460,601-650,University of Potsdam,DE,Germany,L,FO,VH,3.0,A,16.0,547,3.1,601+,16.4,701+,38.6,359,51.0,353,21.8,518,86.3,105,7.2,701+,42.6,345=,25.0,Universität Potsdam,"{""entities"": {""Q153012"": {""type"": ""item"", ""id"": ""Q153012"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the German city of Potsdam""}}}}, ""success"": 1}"
199,=461,308=,Moscow Engineering Physics Institute,RU,Russia,S,FO,VH,2.0,A,10.2,601+,10.1,601+,99.0,36,10.9,701+,54.1,341,90.7,115,2.0,701+,18.0,466,1.2,701+,24.9,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"{""entities"": {""Q56837"": {""type"": ""item"", ""id"": ""Q56837"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
