Unnamed: 0,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Institution Name - WRONG,Wikidata
435,1001-1200,1001-1200,Tuscia University,IT,Italy,M,CO,VH,3.0,A,3.9,601+,1.3,601+,6.1,701+,33.5,409,10.7,701+,6.7,701+,2.4,701+,6.8,701+,14.4,620,-,Università degli Studi della Tuscia (University of Tuscia),"{""entities"": {""Q1780458"": {""type"": ""item"", ""id"": ""Q1780458"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Viterbo, Lazio, Italy""}}}}, ""success"": 1}"
436,1001-1200,1001-1200,University of Udine,IT,Italy,M,CO,VH,3.0,A,7.2,601+,2.5,601+,10.2,701+,22.0,528,4.7,701+,4.0,701+,5.8,701+,7.7,701+,20.7,539,-,Università degli Studi di Udine,"{""entities"": {""Q2307935"": {""type"": ""item"", ""id"": ""Q2307935"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Italy""}}}}, ""success"": 1}"
437,1001-1200,,University of Lleida,ES,Spain,M,CO,VH,3.0,,5.8,601+,1.9,601+,18.7,701+,13.1,676,2.9,701+,12.5,671,4.9,701+,7.9,701+,,,-,Universitat de Lleida,"{""entities"": {""Q1235594"": {""type"": ""item"", ""id"": ""Q1235594"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Lleida, Catalonia, Spain""}}}}, ""success"": 1}"
438,1001-1200,1001-1200,University of Siegen,DE,Germany,L,CO,HI,4.0,A,4.7,601+,1.9,601+,9.7,701+,6.5,701+,52.4,350,29.1,430,5.7,701+,8.9,701+,1.3,701+,-,Universität Siegen,"{""entities"": {""Q504723"": {""type"": ""item"", ""id"": ""Q504723"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
439,1001-1200,1201-1400,University of Caen Normandy,FR,France,L,FC,HI,5.0,A,9.0,601+,2.6,601+,6.0,701+,5.7,701+,9.3,701+,6.9,701+,36.8,402,6.4,701+,1.2,701+,-,Université de Caen Normandie,"{""entities"": {""Q568554"": {""type"": ""item"", ""id"": ""Q568554"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university""}}}}, ""success"": 1}"
440,1001-1200,1001-1200,University of Poitiers,FR,France,L,CO,VH,5.0,A,8.7,601+,2.0,601+,4.9,701+,6.2,701+,,,29.1,431,36.3,409,7.8,701+,2.3,701+,-,Université de Poitiers,"{""entities"": {""Q661056"": {""type"": ""item"", ""id"": ""Q661056"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university""}}}}, ""success"": 1}"
441,1001-1200,1001-1200,University of Toulouse-Jean Jaurès,FR,France,XL,FO,VH,5.0,A,10.1,601+,2.6,601+,1.2,701+,7.0,701+,28.5,499,21.6,524,12.5,630,6.7,701+,1.1,701+,-,Université de Toulouse II-Le Mirail,"{""entities"": {""Q1933558"": {""type"": ""item"", ""id"": ""Q1933558"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""french university situated in Toulouse, created in 1970""}}}}, ""success"": 1}"
442,1001-1200,1001-1200,Lumière University Lyon 2,FR,France,L,SP,,4.0,A,10.9,601+,2.5,601+,5.5,701+,6.3,701+,28.0,501,38.2,361,12.2,633,6.7,701+,3.7,701+,-,Université Lumière Lyon 2,"{""entities"": {""Q4041"": {""type"": ""item"", ""id"": ""Q4041"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French public university in Lyon, France created in 1969""}}}}, ""success"": 1}"
443,1001-1200,1001-1200,University of Derby,UK,United Kingdom,L,CO,HI,3.0,A,4.8,601+,3.2,601+,11.3,701+,4.7,701+,30.5,486,48.5,305,4.4,701+,9.3,701+,3.8,701+,-,University of Derby,"{""entities"": {""Q3183295"": {""type"": ""item"", ""id"": ""Q3183295"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Derby, United Kingdom""}}}}, ""success"": 1}"
444,1001-1200,,University of Deusto,ES,Spain,M,FO,VH,5.0,,5.8,601+,20.9,445,5.0,701+,6.8,701+,,,,,1.3,701+,12.7,677,,,-,University of Deusto,"{""entities"": {""Q1468481"": {""type"": ""item"", ""id"": ""Q1468481"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Spanish private university""}}}}, ""success"": 1}"
445,1001-1200,801-1000,University of Hradec Králové,CZ,Czech Republic,M,FO,VH,4.0,A,5.0,601+,1.9,601+,27.9,547,4.5,701+,41.4,400,3.0,701+,3.4,701+,10.0,701+,1.0,701+,-,University of Hradec Kralove,"{""entities"": {""Q1712507"": {""type"": ""item"", ""id"": ""Q1712507"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Czech university""}}}}, ""success"": 1}"
446,1001-1200,1001-1200,Parthenope University of Naples,IT,Italy,M,FO,VH,4.0,A,3.5,601+,2.0,601+,3.7,701+,38.9,353,1.8,701+,1.9,701+,1.7,701+,4.8,701+,3.4,701+,-,University of Naples Parthenope,"{""entities"": {""Q3551650"": {""type"": ""item"", ""id"": ""Q3551650"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Italy""}}}}, ""success"": 1}"
447,1001-1200,1201-1400,University of Novi Sad,RS,Serbia,XL,FC,HI,4.0,A,8.8,601+,3.6,601+,9.3,701+,3.4,701+,,,,,47.5,330,9.0,701+,2.2,701+,-,University of Novi Sad,"{""entities"": {""Q1263535"": {""type"": ""item"", ""id"": ""Q1263535"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""University in Serbia""}}}}, ""success"": 1}"
448,1001-1200,1001-1200,University of Pardubice,CZ,Czech Republic,M,FO,VH,4.0,A,4.8,601+,2.6,601+,39.8,398,3.3,701+,11.5,701+,11.1,689,1.1,701+,7.8,701+,1.0,701+,-,University of Pardubice,"{""entities"": {""Q728840"": {""type"": ""item"", ""id"": ""Q728840"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in the Czech Republic""}}}}, ""success"": 1}"
449,1001-1200,1001-1200,University of Primorska,SI,Slovenia,M,CO,HI,3.0,A,3.1,601+,2.3,601+,9.4,701+,5.1,701+,26.3,520,28.6,435,5.7,701+,67.8,80,1.4,701+,-,University of Primorska,"{""entities"": {""Q1378123"": {""type"": ""item"", ""id"": ""Q1378123"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Slovenia, founded 2003""}}}}, ""success"": 1}"
450,1001-1200,701-750,University of South Bohemia in České Budějovice,CZ,Czech Republic,M,FO,VH,3.0,A,5.5,601+,2.6,601+,68.7,190,4.8,701+,,,,,5.9,701+,7.7,701+,1.2,701+,-,University of South Bohemia,"{""entities"": {""Q1428711"": {""type"": ""item"", ""id"": ""Q1428711"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
451,1001-1200,801-1000,University of Tyumen,RU,Russia,M,FO,VH,4.0,A,4.1,601+,2.3,601+,39.0,407,1.6,701+,4.8,701+,15.2,616,1.7,701+,8.7,701+,3.0,701+,-,University of Tyumen,"{""entities"": {""Q13419624"": {""type"": ""item"", ""id"": ""Q13419624"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
452,1001-1200,1001-1200,University of Wolverhampton,UK,United Kingdom,L,CO,HI,5.0,A,3.4,601+,3.2,601+,10.4,701+,9.4,701+,34.7,457,72.1,200,3.7,701+,8.8,701+,1.4,701+,-,University of Wolverhampton,"{""entities"": {""Q1816202"": {""type"": ""item"", ""id"": ""Q1816202"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Wolverhampton, United Kingdom""}}}}, ""success"": 1}"
453,1001-1200,801-1000,University of Žilina,SK,Slovakia,M,FO,VH,4.0,A,5.7,601+,1.0,601+,56.1,264,6.2,701+,2.5,701+,2.9,701+,1.2,701+,13.4,641,1.1,701+,-,University of Žilina,"{""entities"": {""Q2003858"": {""type"": ""item"", ""id"": ""Q2003858"", ""descriptions"": {}}}, ""success"": 1}"
454,1001-1200,1201-1400,VSB – Technical University of Ostrava,CZ,Czech Republic,M,FO,VH,5.0,A,5.4,601+,10.3,601+,15.5,701+,4.3,701+,8.4,701+,22.0,514,1.8,701+,9.4,701+,8.4,695=,-,VSB - Technical University of Ostrava,"{""entities"": {""Q1247543"": {""type"": ""item"", ""id"": ""Q1247543"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""polytechnics university located in Ostrava, Moravian-Silesian Region in Czech Republic""}}}}, ""success"": 1}"
455,1001-1200,1001-1200,Warsaw University of Life Sciences,PL,Poland,L,FO,VH,5.0,A,6.9,601+,5.0,601+,20.2,661,6.0,701+,2.4,701+,7.7,701+,32.3,442,6.3,701+,1.9,701+,-,Warsaw University of Life Sciences – SGGW (WULS-SGGW),"{""entities"": {""Q681"": {""type"": ""item"", ""id"": ""Q681"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public agricultural university in Warsaw, Poland""}}}}, ""success"": 1}"
456,1001-1200,801-1000,Yerevan State University,AM,Armenia,M,CO,HI,5.0,A,7.0,601+,3.0,601+,45.4,347,1.4,701+,5.2,701+,1.6,701+,1.0,701+,35.2,215,1.0,701+,-,Yerevan State University,"{""entities"": {""Q1474624"": {""type"": ""item"", ""id"": ""Q1474624"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
457,1201-1400,1201-1400,Lucian Blaga University of Sibiu,RO,Romania,L,FC,MD,3.0,A,3.7,601+,2.5,601+,8.1,701+,1.8,701+,12.5,701+,3.1,701+,49.8,313,9.0,701+,1.8,701+,-,Lucian Blaga University of Sibiu,"{""entities"": {""Q1619447"": {""type"": ""item"", ""id"": ""Q1619447"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university \u00een Sibiu, Romania""}}}}, ""success"": 1}"
458,1201-1400,1201-1400,Don State Technical University,RU,Russia,L,CO,HI,4.0,A,4.2,601+,3.1,601+,13.3,701+,1.4,701+,1.6,701+,14.8,624,1.0,701+,7.2,701+,1.3,701+,-,Don State Technical University,"{""entities"": {""Q4166431"": {""type"": ""item"", ""id"": ""Q4166431"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""University in Russia""}}}}, ""success"": 1}"
459,1201-1400,1201-1400,Alexandru Ioan Cuza University,RO,Romania,L,FO,VH,5.0,A,8.0,601+,8.0,601+,5.3,701+,2.9,701+,3.6,701+,10.9,693,1.8,701+,8.0,701+,1.2,701+,-,Alexandru Ioan Cuza University,"{""entities"": {""Q1523902"": {""type"": ""item"", ""id"": ""Q1523902"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Ia\u0219i, Romania""}}}}, ""success"": 1}"
460,1201-1400,1201-1400,Anadolu University,TR,Turkey,L,FO,VH,4.0,A,4.0,601+,4.0,601+,13.8,701+,2.9,701+,1.9,701+,3.1,701+,1.4,701+,10.6,701+,1.1,701+,-,Anadolu University,"{""entities"": {""Q483758"": {""type"": ""item"", ""id"": ""Q483758"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university located in Eski\u015fehir""}}}}, ""success"": 1}"
461,1201-1400,1001-1200,Belarusian State University of Informatics and Radioelectronics,BY,Belarus,M,SP,,4.0,A,7.4,601+,18.3,478,12.0,701+,1.3,701+,1.2,701+,5.6,701+,1.0,701+,10.9,701+,,,-,Belarusian State University of Informatics and Radioelectronics,"{""entities"": {""Q816145"": {""type"": ""item"", ""id"": ""Q816145"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university""}}}}, ""success"": 1}"
462,1201-1400,1201-1400,Dokuz Eylül University,TR,Turkey,XL,FC,HI,3.0,A,5.7,601+,5.9,601+,2.9,701+,2.4,701+,3.2,701+,6.2,701+,2.1,701+,7.5,701+,16.7,584=,-,Dokuz Eylül Üniversitesi,"{""entities"": {""Q1235258"": {""type"": ""item"", ""id"": ""Q1235258"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in \u0130zmir, Turkey""}}}}, ""success"": 1}"
463,1201-1400,1401+,Erciyes University,TR,Turkey,XL,FC,HI,3.0,A,3.9,601+,3.1,601+,1.9,701+,4.9,701+,3.5,701+,6.5,701+,3.0,701+,7.5,701+,10.3,665=,-,Erciyes Üniversitesi,"{""entities"": {""Q4810943"": {""type"": ""item"", ""id"": ""Q4810943"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university located in Kayseri""}}}}, ""success"": 1}"
464,1201-1400,1201-1400,Gebze Technical University,TR,Turkey,M,CO,VH,3.0,A,3.9,601+,2.7,601+,10.1,701+,13.2,675,3.0,701+,2.7,701+,1.6,701+,9.1,701+,1.1,701+,-,Gebze Yüksek Teknoloji Enstitüsü (GYTE),"{""entities"": {""Q281155"": {""type"": ""item"", ""id"": ""Q281155"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university located in Kocaeli""}}}}, ""success"": 1}"
465,1201-1400,1001-1200,Istanbul Aydın University,TR,Turkey,L,CO,MD,2.0,B,3.7,601+,2.8,601+,12.1,701+,1.4,701+,9.5,701+,50.5,289,1.0,701+,8.4,701+,2.4,701+,-,Istanbul Aydin University,"{""entities"": {""Q6088582"": {""type"": ""item"", ""id"": ""Q6088582"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish private university located in \u0130stanbul""}}}}, ""success"": 1}"
466,1201-1400,1201-1400,Istanbul Bilgi University,TR,Turkey,M,FO,HI,3.0,B,4.4,601+,4.5,601+,12.6,701+,2.0,701+,6.4,701+,25.5,470,1.0,701+,10.2,701+,2.6,701+,-,Istanbul Bilgi Üniversitesi,"{""entities"": {""Q344262"": {""type"": ""item"", ""id"": ""Q344262"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish private university located in \u0130stanbul""}}}}, ""success"": 1}"
467,1201-1400,1001-1200,University of Lviv,UA,Ukraine,L,CO,HI,5.0,A,4.3,601+,10.1,601+,34.2,467,1.3,701+,1.4,701+,2.0,701+,1.0,701+,12.0,701+,1.1,701+,-,Ivan Franko National University of Lviv,"{""entities"": {""Q80207"": {""type"": ""item"", ""id"": ""Q80207"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Lviv, Ukraine""}}}}, ""success"": 1}"
468,1201-1400,1201-1400,İzmir Institute of Technology,TR,Turkey,M,CO,HI,3.0,A,6.6,601+,3.5,601+,5.9,701+,7.5,701+,3.4,701+,2.3,701+,1.0,701+,6.9,701+,3.5,701+,-,Izmir Institute of Technology (IZTECH),"{""entities"": {""Q344405"": {""type"": ""item"", ""id"": ""Q344405"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in \u0130zmir, Turkey""}}}}, ""success"": 1}"
469,1201-1400,1001-1200,Kharkiv National University of Radioelectronics,UA,Ukraine,M,FO,VH,4.0,A,3.7,601+,13.1,601+,26.0,569,1.5,701+,1.4,701+,10.9,696,1.0,701+,10.5,701+,2.1,701+,-,Kharkiv National University of Radio Electronics,"{""entities"": {""Q1980701"": {""type"": ""item"", ""id"": ""Q1980701"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Ukrainian university""}}}}, ""success"": 1}"
470,1201-1400,1201-1400,Marmara University,TR,Turkey,XL,FO,VH,5.0,A,6.8,601+,8.3,601+,5.0,701+,2.3,701+,3.0,701+,3.6,701+,2.1,701+,15.4,548,6.1,701+,-,Marmara University,"{""entities"": {""Q1424081"": {""type"": ""item"", ""id"": ""Q1424081"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Turkish public university in \u0130stanbul""}}}}, ""success"": 1}"
471,1201-1400,1001-1200,D. Mendeleev University of Chemical Technology of Russia,RU,Russia,M,FO,VH,5.0,A,4.9,601+,3.9,601+,30.5,515,2.7,701+,1.1,701+,5.7,701+,1.0,701+,7.2,701+,1.0,701+,-,Mendeleev University of Chemical Technology,"{""entities"": {""Q3151770"": {""type"": ""item"", ""id"": ""Q3151770"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Russia""}}}}, ""success"": 1}"
